mjd,w1mag,w1sigm,w2mag,w2sigm,qual_frame,ra,dec,group
56724.73459131,8.899,0.006,7.58,0.006,10,85.6778882,-10.4193416,1
56729.73909584,8.859,0.007,7.529,0.006,5,85.6779044,-10.4193575,1
56729.73922316,8.876,0.007,7.623,0.006,10,85.6778769,-10.4193529,1
56729.87089053,8.9,0.006,8.179,0.007,10,85.6778723,-10.419338,1
56730.00255786,8.873,0.006,7.578,0.006,10,85.6778547,-10.4193527,1
56730.06839153,8.901,0.006,7.545,0.006,10,85.6778715,-10.4193214,1
56730.20005885,8.772,0.006,7.535,0.006,10,85.677906,-10.4193438,1
56730.26589242,8.803,0.006,7.473,0.006,10,85.6778996,-10.4193516,1
56730.33172609,8.712,0.007,7.46,0.006,10,85.6778766,-10.4193667,1
56730.33185345,8.737,0.006,7.473,0.006,10,85.6778411,-10.4193632,1
56730.39768711,8.725,0.007,7.496,0.006,10,85.6778581,-10.4193434,1
56730.46352078,8.687,0.006,7.397,0.006,10,85.6778296,-10.4193365,1
56730.59518806,8.718,0.007,7.499,0.006,10,85.6778892,-10.4193537,1
56730.72685534,8.74,0.006,7.382,0.006,10,85.6778445,-10.4193417,1
56730.85852266,8.755,0.006,7.425,0.006,10,85.6778654,-10.4193417,1
56921.19562742,8.768,0.007,7.506,0.006,10,85.6779096,-10.4193184,2
56921.32716749,8.749,0.007,7.481,0.006,10,85.6778518,-10.4193071,2
56921.45870756,8.73,0.007,7.445,0.006,10,85.6778771,-10.4193164,2
56921.5245413,8.806,0.007,7.503,0.009,10,85.6778942,-10.4193239,2
56921.59024769,8.779,0.008,7.559,0.006,10,85.6778632,-10.4193075,2
56921.65608138,8.792,0.007,7.566,0.008,10,85.6778772,-10.4193206,2
56921.7217878,8.757,0.007,7.498,0.007,10,85.677851,-10.4193173,2
56921.78762154,8.807,0.007,7.555,0.006,10,85.6778319,-10.4193081,2
56921.85332796,8.79,0.008,7.44,0.007,10,85.6778521,-10.4192993,2
56921.91916171,8.761,0.007,7.375,0.007,10,85.6778688,-10.4192968,2
56922.05070178,8.597,0.046,7.421,0.007,10,85.6778678,-10.4193173,2
56922.18224185,8.714,0.007,7.507,0.008,10,85.6778756,-10.4192906,2
56922.31378192,8.872,0.007,7.484,0.007,10,85.677867,-10.4192939,2
57088.80800306,8.94,0.007,7.697,0.006,10,85.6778779,-10.4193266,3
57088.93941646,8.928,0.007,7.676,0.006,10,85.6778713,-10.4193425,3
57089.07070189,8.426,0.01,7.737,0.007,10,85.6778973,-10.4193277,3
57089.1364083,8.823,0.007,7.591,0.006,10,85.6778848,-10.4193265,3
