mjd,mag,emag,flt,class,ra,dec
56731.848320000005,8.93,0.033,W1,D,86.78986,0.716965
56731.71665,8.933,0.034,W1,D,86.789865,0.716959
56731.584989999996,8.942,0.034,W1,D,86.789867,0.716963
56731.78249,8.942,0.034,W1,D,86.789879,0.716942
56732.04582000001,8.95,0.034,W1,D,86.78988299999999,0.716969
56731.45319,8.954,0.034,W1,D,86.789868,0.716964
56731.65082,8.956,0.035,W1,D,86.78985899999999,0.716935
56731.91415,8.967,0.034,W1,D,86.789834,0.71697
56732.177489999995,8.97,0.035,W1,D,86.78987099999999,0.716956
56923.29822999999,8.926,0.035,W1,D,86.78988100000001,0.7169760000000001
56923.16669,8.958,0.036000000000000004,W1,D,86.789868,0.716967
56923.758689999995,8.96,0.035,W1,D,86.789861,0.716946
56923.36407,8.964,0.034,W1,D,86.78986,0.7169810000000001
56922.90361,8.969,0.034,W1,D,86.78984799999999,0.716967
56923.495610000005,8.971,0.035,W1,D,86.789879,0.716982
56923.03515,8.972999999999999,0.035,W1,D,86.78987099999999,0.716968
56923.232529999994,8.977,0.033,W1,D,86.78988000000001,0.716987
56923.10099,8.978,0.034,W1,D,86.78987099999999,0.716996
56922.64053,8.981,0.035,W1,D,86.789852,0.7169800000000001
56922.772070000006,8.999,0.016,W1,D,86.789886,0.716962
56922.903739999994,9.0,0.016,W1,D,86.789895,0.716985
57090.51752,8.986,0.035,W1,D,86.789857,0.716968
57090.84592000001,8.996,0.036000000000000004,W1,D,86.789854,0.716959
57090.977210000005,8.996,0.034,W1,D,86.789854,0.716943
57091.10849,9.0,0.015,W1,D,86.789854,0.716979
57090.84579,9.001,0.017,W1,D,86.789893,0.716979
57090.3861,9.003,0.019,W1,D,86.789866,0.716969
57090.714510000005,9.006,0.013999999999999999,W1,D,86.789856,0.716985
57090.6488,9.008,0.017,W1,D,86.78984,0.716961
57091.37119,9.008,0.013000000000000001,W1,D,86.789852,0.716947
57090.780210000004,9.009,0.013999999999999999,W1,D,86.789867,0.71696
57285.18985,8.943,0.034,W1,D,86.789852,0.7169840000000001
57285.58345,8.943999999999999,0.034,W1,D,86.789895,0.716975
57285.05869,8.945,0.034,W1,D,86.78985899999999,0.717004
57285.4523,8.95,0.034,W1,D,86.789858,0.716965
57284.730670000004,8.957,0.034,W1,D,86.789878,0.716982
57284.86196,8.959,0.035,W1,D,86.789855,0.7169770000000001
57285.25543,8.96,0.034,W1,D,86.789868,0.716949
57284.99312000001,8.961,0.035,W1,D,86.78989399999999,0.716974
57285.12427000001,8.966000000000001,0.034,W1,D,86.789869,0.7169800000000001
57285.71461,8.971,0.034,W1,D,86.789896,0.716985
57449.99505,9.029,0.015,W1,D,86.789858,0.716969
57449.6017,9.032,0.017,W1,D,86.789889,0.716969
57449.79844,9.032,0.019,W1,D,86.78985300000001,0.71695
57449.47067,9.037,0.015,W1,D,86.789814,0.716952
57450.45385,9.038,0.015,W1,D,86.789863,0.716942
57449.86389,9.041,0.013000000000000001,W1,D,86.789872,0.716957
57449.92947,9.048,0.015,W1,D,86.789863,0.716952
57449.732860000004,9.058,0.017,W1,D,86.789852,0.716959
57450.191660000004,9.061,0.015,W1,D,86.789889,0.716972
57654.52645,9.059,0.019,W1,D,86.78988199999999,0.7169800000000001
57648.892620000006,9.076,0.013000000000000001,W1,D,86.789847,0.716983
57648.761589999995,9.08,0.015,W1,D,86.789876,0.716997
57649.613229999995,9.081,0.016,W1,D,86.789861,0.71697
57649.15467999999,9.082,0.016,W1,D,86.789874,0.716987
57649.28572000001,9.082,0.017,W1,D,86.78985300000001,0.716972
57649.74426,9.085,0.016,W1,D,86.789876,0.71697
57649.35117,9.099,0.015,W1,D,86.78985300000001,0.716992
57649.4822,9.099,0.015,W1,D,86.789866,0.7169800000000001
57813.84537,8.916,0.035,W1,D,86.789864,0.716938
57814.565720000006,8.93,0.034,W1,D,86.789877,0.71696
57814.04185,8.933,0.035,W1,D,86.78983000000001,0.716953
57813.714329999995,8.936,0.034,W1,D,86.789874,0.716969
