# MJD mag magerr filter distance ra dec
55263.66948 11.918  0.145 W1  0.3358  83.860070  -5.924090
55263.66948 11.398  0.170 W2  0.3358  83.860070  -5.924090
55263.66948  0.520  0.224 W1mW2  0.3358  83.860070  -5.924090
55264.12158 12.054  0.030 W1  0.3984  83.860055  -5.924108
55264.12158 11.518  0.035 W2  0.3984  83.860055  -5.924108
55264.12158  0.536  0.046 W1mW2  0.3984  83.860055  -5.924108
56724.60376 12.076  0.078 W1  0.4645  83.860041  -5.924123
56724.60376 11.764  0.342 W2  0.4645  83.860041  -5.924123
56724.60376  0.312  0.350 W1mW2  0.4645  83.860041  -5.924123
56728.48884 12.201  0.219 W1  0.4795  83.860072  -5.924123
56728.48884 12.082  0.470 W2  0.4795  83.860072  -5.924123
56728.48884  0.119  0.518 W1mW2  0.4795  83.860072  -5.924123
56729.05954 12.184  0.193 W1  0.4808  83.860076  -5.924132
56729.05954 12.148  0.829 W2  0.4808  83.860076  -5.924132
56729.05954  0.036  0.852 W1mW2  0.4808  83.860076  -5.924132
56915.73588 12.298  0.025 W1  0.6108  83.860089  -5.924169
56915.73588 11.805  0.038 W2  0.6108  83.860089  -5.924169
56915.73588  0.493  0.045 W1mW2  0.6108  83.860089  -5.924169
56919.73475 12.316  0.069 W1  0.5324  83.860101  -5.924142
56919.73475 12.286  0.404 W2  0.5324  83.860101  -5.924142
56919.73475  0.030  0.410 W1mW2  0.5324  83.860101  -5.924142
56920.20827 12.282  0.171 W1  0.5677  83.860056  -5.924150
56920.20827 12.143  0.302 W2  0.5677  83.860056  -5.924150
56920.20827  0.139  0.348 W1mW2  0.5677  83.860056  -5.924150
57087.55454 12.292  0.131 W1  0.5285  83.860085  -5.924138
57087.55454 12.113  0.584 W2  0.5285  83.860085  -5.924138
57087.55454  0.179  0.598 W1mW2  0.5285  83.860085  -5.924138
57088.15215 12.337  0.057 W1  0.6758  83.860069  -5.924188
57088.15215 12.743  1.238 W2  0.6758  83.860069  -5.924188
57088.15215 -0.406  1.239 W1mW2  0.6758  83.860069  -5.924188
57281.73328 12.245  0.162 W1  0.5216  83.860057  -5.924136
57281.70361 12.285  0.624 W2  0.4396  83.860042  -5.924113
57281.73328 -0.040  0.645 W1mW2  0.5216  83.860057  -5.924136
57282.23930 12.189  0.155 W1  0.5001  83.860060  -5.924134
57282.23930 12.018  0.576 W2  0.5001  83.860060  -5.924134
57282.23930  0.170  0.597 W1mW2  0.5001  83.860060  -5.924134
57446.60185 12.052  0.223 W1  0.5556  83.860048  -5.924124
57446.60185 12.023  0.599 W2  0.5556  83.860048  -5.924124
57446.60185  0.028  0.639 W1mW2  0.5556  83.860048  -5.924124
57447.17536 12.083  0.058 W1  0.5085  83.860104  -5.924138
57447.17536 11.956  0.193 W2  0.5085  83.860104  -5.924138
57447.17536  0.127  0.202 W1mW2  0.5085  83.860104  -5.924138
57645.73843 12.066  0.289 W1  0.4682  83.860050  -5.924088
57645.61838 12.186  0.055 W2  0.2014  83.860120  -5.924039
57646.32021 12.221  0.439 W1  0.3879  83.860114  -5.924091
57646.32021 11.999  0.545 W2  0.3879  83.860114  -5.924091
57646.32021  0.222  0.700 W1mW2  0.3879  83.860114  -5.924091
57654.26554 12.073  0.031 W1  0.2720  83.860099  -5.924073
57810.73349 12.212  0.159 W1  0.5417  83.860078  -5.924148
57810.73349 11.986  0.604 W2  0.5417  83.860078  -5.924148
57810.73349  0.226  0.625 W1mW2  0.5417  83.860078  -5.924148
57811.19841 12.143  0.103 W1  0.4503  83.860073  -5.924114
57811.19841 12.231  0.432 W2  0.4503  83.860073  -5.924114
57811.19841 -0.088  0.444 W1mW2  0.4503  83.860073  -5.924114
57818.42828 12.283  0.028 W1  0.8071  83.860024  -5.924217
57818.42828 12.024  0.051 W2  0.8071  83.860024  -5.924217
57818.42828  0.259  0.058 W1mW2  0.8071  83.860024  -5.924217
58012.82218 12.139  0.152 W1  0.4138  83.860060  -5.924070
58012.79598 12.286  0.523 W2  0.4153  83.860074  -5.924109
58012.82218 -0.147  0.545 W1mW2  0.4138  83.860060  -5.924070
58013.25426 12.313  0.283 W1  0.5614  83.860055  -5.924126
58013.29792 11.827  0.127 W2  0.5477  83.860079  -5.924147
58013.25426  0.486  0.310 W1mW2  0.5614  83.860055  -5.924126
58167.77409 12.298  0.145 W1  0.5659  83.860075  -5.924151
58167.77409 12.115  0.406 W2  0.5659  83.860075  -5.924151
58167.77409  0.183  0.431 W1mW2  0.5659  83.860075  -5.924151
58168.27740 12.240  0.113 W1  0.4986  83.860095  -5.924126
58168.23436 12.324  0.340 W2  0.5045  83.860087  -5.924124
58168.27740 -0.085  0.358 W1mW2  0.4986  83.860095  -5.924126
58376.75670 12.099  0.087 W1  0.5160  83.860042  -5.924136
58376.75670 12.131  0.602 W2  0.5160  83.860042  -5.924136
58376.75670 -0.032  0.608 W1mW2  0.5160  83.860042  -5.924136
58377.33256 12.139  0.218 W1  0.6255  83.860060  -5.924167
58377.36745 11.928  0.588 W2  0.6463  83.860057  -5.924172
58377.33256  0.211  0.628 W1mW2  0.6255  83.860060  -5.924167
58534.76354 12.053  0.274 W1  0.4639  83.860087  -5.924119
58534.76354 11.837  0.371 W2  0.4639  83.860087  -5.924119
58534.76354  0.216  0.461 W1mW2  0.4639  83.860087  -5.924119
58535.23274 12.028  0.078 W1  0.4685  83.860069  -5.924118
58535.23274 11.959  0.483 W2  0.4685  83.860069  -5.924118
58535.23274  0.069  0.489 W1mW2  0.4685  83.860069  -5.924118
58740.90668 13.081  0.054 W1  0.3536  83.860165  -5.923949
58740.90668 11.379  0.031 W2  0.3536  83.860165  -5.923949
58740.90668  1.702  0.062 W1mW2  0.3536  83.860165  -5.923949
58741.46275 12.553  0.575 W1  0.4833  83.860067  -5.924123
58741.46275 12.378  0.605 W2  0.4833  83.860067  -5.924123
58741.46275  0.176  0.835 W1mW2  0.4833  83.860067  -5.924123
58742.01872 11.549  0.024 W1  0.2215  83.860138  -5.924021
58742.01872 14.230  0.378 W2  0.2215  83.860138  -5.924021
58742.01872 -2.681  0.379 W1mW2  0.2215  83.860138  -5.924021
58748.10240 12.392  0.030 W1  0.5899  83.860052  -5.924161
58748.10240 12.180  0.063 W2  0.5899  83.860052  -5.924161
58748.10240  0.212  0.070 W1mW2  0.5899  83.860052  -5.924161
58898.80166 11.834  0.541 W1  0.5938  83.860062  -5.924066
58898.83439 11.746  0.222 W2  0.5730  83.860049  -5.924148
58898.80166  0.088  0.584 W1mW2  0.5938  83.860062  -5.924066
58899.30396 12.136  0.151 W1  0.5525  83.860078  -5.924150
58899.32482 11.791  0.266 W2  0.5542  83.860077  -5.924150
58899.30396  0.345  0.306 W1mW2  0.5525  83.860078  -5.924150
59108.53501 12.257  0.248 W1  0.5685  83.860054  -5.924146
59108.54233 12.418  0.680 W2  0.5567  83.860045  -5.924143
59108.53501 -0.161  0.724 W1mW2  0.5685  83.860054  -5.924146
59109.12359 12.394  0.290 W1  0.6530  83.859989  -5.924157
59109.05820 12.695  0.092 W2  0.8906  83.859940  -5.924205
