# MJD mag magerr filter distance ra dec
55264.09963 10.287  0.065 W1  1.0305  83.919821  -5.213068
55264.09963  9.607  0.064 W2  1.0305  83.919821  -5.213068
55264.09963  0.680  0.092 W1mW2  1.0305  83.919821  -5.213068
56728.11582 10.310  0.068 W1  0.8355  83.919909  -5.213214
56728.15972  9.840  0.076 W2  0.8318  83.919907  -5.213213
56728.11582  0.471  0.102 W1mW2  0.8355  83.919909  -5.213214
56919.71234 10.308  0.080 W1  0.7838  83.919885  -5.213205
56919.71234  9.912  0.080 W2  0.7838  83.919885  -5.213205
56919.71234  0.396  0.113 W1mW2  0.7838  83.919885  -5.213205
57087.72289 10.312  0.070 W1  0.8951  83.919908  -5.213183
57087.72289  9.938  0.076 W2  0.8951  83.919908  -5.213183
57087.72289  0.374  0.103 W1mW2  0.8951  83.919908  -5.213183
57282.00960 10.287  0.090 W1  0.9053  83.919926  -5.213237
57282.00960  9.874  0.110 W2  0.9053  83.919926  -5.213237
57282.00960  0.412  0.142 W1mW2  0.9053  83.919926  -5.213237
57446.81500 10.316  0.108 W1  0.9055  83.919897  -5.213175
57446.81500  9.943  0.077 W2  0.9055  83.919897  -5.213175
57446.81500  0.373  0.133 W1mW2  0.9055  83.919897  -5.213175
57646.81249 10.304  0.186 W1  0.8866  83.919911  -5.213192
57646.81249 10.173  0.359 W2  0.8866  83.919911  -5.213192
57646.81249  0.131  0.404 W1mW2  0.8866  83.919911  -5.213192
57811.59249 10.355  0.076 W1  0.8729  83.919916  -5.213212
57811.59249  9.972  0.079 W2  0.8729  83.919916  -5.213212
57811.59249  0.383  0.109 W1mW2  0.8729  83.919916  -5.213212
58013.13328 10.335  0.093 W1  0.8175  83.919884  -5.213204
58013.13328 10.041  0.084 W2  0.8175  83.919884  -5.213204
58013.13328  0.294  0.125 W1mW2  0.8175  83.919884  -5.213204
58168.73049 10.293  0.108 W1  0.8234  83.919894  -5.213202
58168.73049  9.874  0.086 W2  0.8234  83.919894  -5.213202
58168.73049  0.419  0.137 W1mW2  0.8234  83.919894  -5.213202
58377.30188 10.315  0.117 W1  0.9556  83.919896  -5.213163
58377.30188  9.953  0.100 W2  0.9556  83.919896  -5.213163
58377.30188  0.362  0.154 W1mW2  0.9556  83.919896  -5.213163
58535.02752 10.329  0.090 W1  0.9746  83.919922  -5.213167
58535.02752  9.939  0.102 W2  0.9746  83.919922  -5.213167
58535.02752  0.390  0.136 W1mW2  0.9746  83.919922  -5.213167
58742.07903 10.291  0.107 W1  0.7835  83.919893  -5.213218
58742.07903 10.024  0.266 W2  0.7835  83.919893  -5.213218
58742.07903  0.267  0.286 W1mW2  0.7835  83.919893  -5.213218
58899.31554 10.349  0.065 W1  0.9073  83.919903  -5.213172
58899.31554 10.002  0.085 W2  0.9073  83.919903  -5.213172
58899.31554  0.347  0.107 W1mW2  0.9073  83.919903  -5.213172
59108.69837 10.268  0.091 W1  0.8037  83.919869  -5.213179
59108.69837  9.977  0.076 W2  0.8037  83.919869  -5.213179
59108.69837  0.292  0.119 W1mW2  0.8037  83.919869  -5.213179
