# MJD mag magerr filter distance ra dec
55283.68485 10.023  0.055 W1  0.8519 278.020216  -2.523986
55283.68485  9.476  0.036 W2  0.8519 278.020216  -2.523986
55283.68485  0.548  0.065 W1mW2  0.8519 278.020216  -2.523986
55284.25980  9.996  0.036 W1  0.8816 278.020218  -2.524000
55284.25980  9.452  0.037 W2  0.8816 278.020218  -2.524000
55284.25980  0.544  0.052 W1mW2  0.8816 278.020218  -2.524000
55292.14215  9.961  0.019 W1  0.9572 278.020245  -2.523994
55292.14215  9.432  0.020 W2  0.9572 278.020245  -2.523994
55292.14215  0.529  0.028 W1mW2  0.9572 278.020245  -2.523994
56748.56133  9.903  0.042 W1  0.9157 278.020216  -2.524025
56748.56133  9.296  0.046 W2  0.9157 278.020216  -2.524025
56748.56133  0.607  0.062 W1mW2  0.9157 278.020216  -2.524025
56749.06605  9.971  0.020 W1  0.8916 278.020214  -2.524016
56749.06605  9.348  0.018 W2  0.8916 278.020214  -2.524016
56749.06605  0.623  0.027 W1mW2  0.8916 278.020214  -2.524016
56927.86883  9.656  0.024 W1  0.8720 278.020193  -2.524037
56927.86883  9.075  0.016 W2  0.8720 278.020193  -2.524037
56927.86883  0.580  0.029 W1mW2  0.8720 278.020193  -2.524037
56928.43687  9.655  0.020 W1  0.9479 278.020209  -2.524049
56928.43687  9.056  0.024 W2  0.9479 278.020209  -2.524049
56928.43687  0.598  0.031 W1mW2  0.9479 278.020209  -2.524049
56932.20945  9.625  0.014 W1  0.8405 278.020172  -2.524048
56932.20945  9.019  0.017 W2  0.8405 278.020172  -2.524048
56932.20945  0.606  0.022 W1mW2  0.8405 278.020172  -2.524048
57110.48355  9.756  0.021 W1  0.9095 278.020207  -2.524033
57110.48355  9.179  0.054 W2  0.9095 278.020207  -2.524033
57110.48355  0.577  0.058 W1mW2  0.9095 278.020207  -2.524033
57111.03804  9.763  0.016 W1  0.8305 278.020202  -2.524002
57111.03804  9.194  0.014 W2  0.8305 278.020202  -2.524002
57111.03804  0.569  0.021 W1mW2  0.8305 278.020202  -2.524002
57289.74826  9.903  0.024 W1  0.8723 278.020201  -2.524019
57289.74826  9.389  0.035 W2  0.8723 278.020201  -2.524019
57289.74826  0.514  0.042 W1mW2  0.8723 278.020201  -2.524019
57290.27298  9.894  0.027 W1  0.8795 278.020201  -2.524029
57290.27298  9.355  0.023 W2  0.8795 278.020201  -2.524029
57290.27298  0.539  0.035 W1mW2  0.8795 278.020201  -2.524029
57474.67933  9.985  0.039 W1  0.9465 278.020221  -2.524032
57474.67933  9.450  0.032 W2  0.9465 278.020221  -2.524032
57474.67933  0.535  0.050 W1mW2  0.9465 278.020221  -2.524032
57475.22822  9.986  0.039 W1  0.9351 278.020207  -2.524046
57475.22822  9.475  0.053 W2  0.9351 278.020207  -2.524046
57475.22822  0.512  0.066 W1mW2  0.9351 278.020207  -2.524046
57648.75469  9.802  0.053 W1  0.9141 278.020210  -2.524031
57648.75469  9.246  0.047 W2  0.9141 278.020210  -2.524031
57648.75469  0.556  0.071 W1mW2  0.9141 278.020210  -2.524031
57649.27127  9.784  0.031 W1  0.9432 278.020210  -2.524046
57649.27127  9.261  0.021 W2  0.9432 278.020210  -2.524046
57649.27127  0.523  0.037 W1mW2  0.9432 278.020210  -2.524046
57841.78430  9.865  0.025 W1  0.9270 278.020218  -2.524027
57841.78430  9.348  0.025 W2  0.9270 278.020218  -2.524027
57841.78430  0.517  0.035 W1mW2  0.9270 278.020218  -2.524027
57842.23333  9.960  0.029 W1  0.9409 278.020215  -2.524039
57842.23333  9.384  0.028 W2  0.9409 278.020215  -2.524039
57842.23333  0.576  0.040 W1mW2  0.9409 278.020215  -2.524039
58009.55394  9.876  0.029 W1  0.9099 278.020200  -2.524044
58009.55394  9.338  0.020 W2  0.9099 278.020200  -2.524044
58009.55394  0.538  0.035 W1mW2  0.9099 278.020200  -2.524044
58010.07754  9.868  0.015 W1  0.8470 278.020178  -2.524045
58010.07754  9.316  0.014 W2  0.8470 278.020178  -2.524045
58010.07754  0.552  0.021 W1mW2  0.8470 278.020178  -2.524045
58205.74619  9.673  0.027 W1  0.8835 278.020209  -2.524017
58205.74619  9.161  0.022 W2  0.8835 278.020209  -2.524017
58205.74619  0.511  0.035 W1mW2  0.8835 278.020209  -2.524017
58206.24796  9.650  0.028 W1  0.8903 278.020205  -2.524027
58206.24796  9.123  0.022 W2  0.8903 278.020205  -2.524027
58206.24796  0.527  0.035 W1mW2  0.8903 278.020205  -2.524027
58369.81876  9.764  0.035 W1  0.9046 278.020205  -2.524036
58369.81876  9.213  0.038 W2  0.9046 278.020205  -2.524036
58369.81876  0.550  0.052 W1mW2  0.9046 278.020205  -2.524036
58370.27664  9.710  0.021 W1  0.9050 278.020196  -2.524045
58370.27664  9.166  0.028 W2  0.9050 278.020196  -2.524045
58370.27664  0.544  0.034 W1mW2  0.9050 278.020196  -2.524045
58569.77145  9.615  0.023 W1  0.8812 278.020191  -2.524042
58569.77145  9.059  0.018 W2  0.8812 278.020191  -2.524042
58569.77145  0.556  0.029 W1mW2  0.8812 278.020191  -2.524042
58572.82058  9.832  0.019 W1  0.8934 278.020199  -2.524038
58572.82058  9.160  0.020 W2  0.8934 278.020199  -2.524038
58572.82058  0.672  0.028 W1mW2  0.8934 278.020199  -2.524038
58573.26834  9.770  0.052 W1  0.8991 278.020206  -2.524032
58573.26834  9.104  0.034 W2  0.8991 278.020206  -2.524032
58573.26834  0.666  0.062 W1mW2  0.8991 278.020206  -2.524032
58733.67726  9.876  0.030 W1  0.9121 278.020186  -2.524062
58733.67726  9.276  0.021 W2  0.9121 278.020186  -2.524062
58733.67726  0.601  0.036 W1mW2  0.9121 278.020186  -2.524062
58736.68587  9.770  0.018 W1  0.9231 278.020203  -2.524046
58736.68587  9.229  0.020 W2  0.9231 278.020203  -2.524046
58736.68587  0.540  0.027 W1mW2  0.9231 278.020203  -2.524046
58737.34819  9.832  0.085 W1  0.9618 278.020212  -2.524052
58737.34819  9.283  0.071 W2  0.9618 278.020212  -2.524052
58737.34819  0.549  0.111 W1mW2  0.9618 278.020212  -2.524052
58936.93259  9.524  0.016 W1  0.9507 278.020201  -2.524061
58936.93259  8.957  0.039 W2  0.9507 278.020201  -2.524061
58936.93259  0.567  0.043 W1mW2  0.9507 278.020201  -2.524061
58937.42309  9.526  0.025 W1  0.9238 278.020211  -2.524036
58937.42309  8.957  0.042 W2  0.9238 278.020211  -2.524036
58937.42309  0.569  0.049 W1mW2  0.9238 278.020211  -2.524036
59100.91464  9.739  0.022 W1  0.7871 278.020182  -2.524012
59100.91464  9.151  0.062 W2  0.7871 278.020182  -2.524012
59100.91464  0.588  0.065 W1mW2  0.7871 278.020182  -2.524012
59101.47414  9.658  0.039 W1  0.9135 278.020197  -2.524049
59101.47414  9.066  0.027 W2  0.9135 278.020197  -2.524049
59101.47414  0.592  0.048 W1mW2  0.9135 278.020197  -2.524049
