# MJD mag magerr filter flag distance ra dec
55285.92271 10.777  0.022 W1 10  1.1967 279.601556   0.544571
55285.45958 10.773  0.019 W1 10  1.2379 279.601562   0.544585
55292.34016 10.801  0.024 W1 10  1.2965 279.601585   0.544573
55286.31962 10.862  0.020 W1 10  1.3034 279.601547   0.544647
55285.65810 10.812  0.025 W1 10  1.3195 279.601590   0.544578
55285.79041 10.771  0.022 W1 10  1.3345 279.601602   0.544556
55285.85650 10.802  0.023 W1 10  1.3503 279.601587   0.544605
55286.18732 10.759  0.019 W1 10  1.3510 279.601607   0.544556
55285.32728 10.787  0.023 W1 10  1.3558 279.601596   0.544589
55285.59189 10.765  0.021 W1 10  1.4250 279.601609   0.544607
55285.72419 10.801  0.022 W1 10  1.4277 279.601622   0.544577
57112.41622 10.872  0.023 W1 10  0.9386 279.601510   0.544457
57476.70223 10.778  0.018 W1  0  1.0078 279.601529   0.544422
57479.19259 10.771  0.017 W1  5  1.0937 279.601546   0.544510
58011.78018 10.760  0.018 W1  5  1.0988 279.601544   0.544521
59102.61593 10.773  0.017 W1  5  1.1586 279.601564   0.544509
57291.32297 10.813  0.021 W1 10  1.1637 279.601568   0.544499
57650.95640 10.805  0.018 W1 10  1.1650 279.601560   0.544533
58379.79804 10.784  0.018 W1  5  1.1676 279.601569   0.544497
56933.13074 10.828  0.019 W1 10  1.1682 279.601565   0.544516
59103.33526 10.782  0.016 W1  5  1.1735 279.601564   0.544527
58739.04130 10.771  0.019 W1  5  1.1763 279.601561   0.544541
58371.55291 10.758  0.017 W1  5  1.1829 279.601573   0.544501
59102.87748 10.775  0.018 W1  5  1.1841 279.601571   0.544511
57650.62875 10.788  0.018 W1  5  1.1868 279.601569   0.544522
56933.39382 10.815  0.019 W1 10  1.1882 279.601570   0.544523
58738.71430 10.745  0.019 W1  5  1.1918 279.601568   0.544531
58371.81522 10.775  0.019 W1  5  1.1975 279.601579   0.544491
58739.43389 10.776  0.017 W1  5  1.1978 279.601575   0.544514
57650.69433 10.787  0.020 W1  5  1.1980 279.601573   0.544520
58011.51837 10.790  0.016 W1  5  1.1996 279.601575   0.544512
58011.38747 10.778  0.020 W1  5  1.2015 279.601577   0.544507
58372.40403 10.791  0.020 W1  5  1.2044 279.601571   0.544533
58574.74341 10.826  0.017 W1 10  1.2071 279.601572   0.544532
57650.49772 10.820  0.020 W1  5  1.2076 279.601570   0.544541
59103.00826 10.780  0.017 W1  5  1.2077 279.601577   0.544514
58371.81509 10.764  0.019 W1  5  1.2078 279.601575   0.544525
57292.30691 10.844  0.016 W1  5  1.2112 279.601575   0.544525
58939.28649 10.763  0.018 W1  5  1.2133 279.601568   0.544551
58738.97598 10.775  0.018 W1  5  1.2154 279.601579   0.544518
58739.17221 10.796  0.019 W1  5  1.2157 279.601578   0.544521
57480.04448 10.866  0.021 W1  0  1.2185 279.601568   0.544556
56932.80183 10.790  0.017 W1 10  1.2195 279.601578   0.544527
58207.85077 10.801  0.019 W1  5  1.2195 279.601575   0.544535
57292.04459 10.775  0.017 W1  5  1.2227 279.601578   0.544529
56930.23699 10.810  0.018 W1  5  1.2234 279.601581   0.544517
58371.88055 10.799  0.022 W1  5  1.2244 279.601556   0.544588
57650.82536 10.814  0.018 W1  5  1.2247 279.601576   0.544538
57651.34936 10.782  0.018 W1  5  1.2265 279.601577   0.544536
59103.72759 10.801  0.017 W1  5  1.2269 279.601576   0.544540
58738.91053 10.798  0.018 W1  5  1.2271 279.601583   0.544515
58010.79827 10.808  0.019 W1  5  1.2288 279.601587   0.544497
59103.20449 10.801  0.020 W1  5  1.2296 279.601586   0.544500
57112.02236 10.824  0.017 W1  5  1.2323 279.601576   0.544544
58939.54804 10.812  0.019 W1  0  1.2327 279.601578   0.544539
57476.63665 10.754  0.018 W1  5  1.2339 279.601558   0.544590
57650.23579 10.800  0.020 W1  5  1.2347 279.601583   0.544522
58938.82858 10.775  0.017 W1  5  1.2362 279.601569   0.544566
58574.61251 10.775  0.018 W1  5  1.2371 279.601574   0.544553
57112.74463 10.804  0.021 W1  5  1.2372 279.601573   0.544557
57843.28043 10.772  0.017 W1  5  1.2393 279.601584   0.544523
57651.21833 10.786  0.017 W1  5  1.2393 279.601580   0.544537
56932.53887 10.778  0.020 W1 10  1.2398 279.601585   0.544519
58011.32201 10.764  0.017 W1  5  1.2405 279.601588   0.544509
56932.67029 10.823  0.019 W1 10  1.2415 279.601581   0.544535
58574.87419 10.827  0.019 W1  5  1.2431 279.601584   0.544528
57650.36682 10.844  0.023 W1  5  1.2434 279.601583   0.544533
59103.07371 10.810  0.021 W1  5  1.2437 279.601580   0.544543
58372.01145 10.776  0.018 W1  5  1.2445 279.601575   0.544558
57291.58541 10.792  0.019 W1  5  1.2460 279.601590   0.544503
57651.08730 10.770  0.019 W1  5  1.2466 279.601591   0.544501
58371.94600 10.791  0.017 W1  5  1.2483 279.601590   0.544508
58371.68432 10.805  0.018 W1  5  1.2499 279.601588   0.544519
57112.28494 10.793  0.019 W1  5  1.2502 279.601585   0.544533
56929.51359 10.790  0.018 W1 10  1.2503 279.601589   0.544514
57476.76781 10.819  0.019 W1  0  1.2505 279.601577   0.544557
56930.10545 10.790  0.017 W1 10  1.2535 279.601581   0.544548
57291.97889 10.802  0.019 W1  5  1.2539 279.601588   0.544525
56932.67041 10.851  0.024 W1 10  1.2591 279.601587   0.544532
58011.25656 10.779  0.020 W1  5  1.2593 279.601583   0.544547
58207.52364 10.752  0.017 W1  5  1.2614 279.601589   0.544528
58010.92918 10.794  0.017 W1  5  1.2620 279.601590   0.544525
58938.56703 10.752  0.017 W1  5  1.2644 279.601588   0.544535
56932.40734 10.782  0.017 W1 10  1.2645 279.601587   0.544539
58207.39274 10.794  0.017 W1  5  1.2679 279.601588   0.544540
