# MJD mag magerr filter flag distance ra dec
55287.91440  7.492  0.072 W1 10  0.6417 285.494517 -36.963781
55288.31131  6.932  0.065 W1 10  1.1032 285.494774 -36.963874
55287.98049  6.884  0.064 W1 10  1.3786 285.494889 -36.963903
55287.84819  6.870  0.068 W1 10  1.3928 285.494869 -36.963920
55287.71588  6.922  0.064 W1 10  1.4001 285.494885 -36.963913
55287.58358  6.939  0.066 W1 10  1.4070 285.494865 -36.963927
55288.17901  6.917  0.065 W1 10  1.4528 285.494919 -36.963909
55287.78210  6.867  0.068 W1 10  1.5149 285.494994 -36.963870
55287.31897  6.927  0.064 W1 10  1.5181 285.494892 -36.963950
55288.04671  6.883  0.065 W1 10  1.5267 285.494920 -36.963935
55287.45127  6.875  0.070 W1 10  1.6040 285.494932 -36.963955
55292.47934  6.946  0.063 W1 10  1.7310 285.494992 -36.963961
55287.91440  7.865  0.048 W1 10  2.5858 285.495222 -36.964113
56934.63639  6.801  0.166 W1  0  0.4593 285.494550 -36.963735
56934.76793  6.498  0.164 W1 10  0.6797 285.494630 -36.963794
56934.89947  6.689  0.150 W1 10  0.6873 285.494671 -36.963787
57845.97212  6.215  0.164 W1 10  0.9272 285.494279 -36.963518
58374.09801  6.624  0.178 W1  5  0.9391 285.494511 -36.963355
57114.52418  6.593  0.309 W1 10  0.9913 285.494531 -36.963337
56934.96517  7.444  0.097 W1 10  1.0625 285.494686 -36.963893
58210.08288  6.374  0.394 W1 10  1.0750 285.494674 -36.963321
57652.98018  4.638  0.312 W1 10  1.0919 285.494570 -36.963913
56935.09671  6.905  0.143 W1 10  1.1431 285.494348 -36.963868
58576.84372  6.232  0.194 W1 10  1.3020 285.494128 -36.963622
56935.22825  6.920  0.132 W1 10  1.3338 285.494904 -36.963345
58374.36032  6.192  0.232 W1 10  1.4747 285.494998 -36.963373
56931.74276  6.204  0.166 W1 10  1.5875 285.495021 -36.963875
56935.49133  6.202  0.156 W1 10  1.6781 285.494295 -36.964017
56935.35979  6.675  0.158 W1 10  1.7552 285.495182 -36.963531
56934.96517  6.374  0.142 W1 10  1.7816 285.494969 -36.963995
58373.64048  6.653  0.132 W1 10  1.8296 285.493949 -36.963672
57113.86762  5.787  0.191 W1 10  1.8478 285.494056 -36.963907
56931.61122  6.127  0.176 W1 10  1.9359 285.495205 -36.963810
58373.83684  6.748  0.219 W1 10  1.9448 285.494406 -36.963088
58210.34469  6.451  0.231 W1 10  1.9709 285.494284 -36.963116
58013.01726  6.953  0.139 W1 10  2.0095 285.494988 -36.963157
58209.62472  6.280  0.223 W1 10  2.0118 285.494405 -36.963069
57114.72104  6.489  0.180 W1 10  2.0613 285.494826 -36.963072
57114.39289  5.773  0.202 W1 10  2.1586 285.494911 -36.964148
58013.01726  6.168  0.177 W1 10  2.1626 285.493900 -36.963866
57846.10302  5.345  0.235 W1  5  2.2071 285.495263 -36.963890
57293.87419  6.341  0.194 W1 10  2.2302 285.495233 -36.963276
58941.25539  5.609  0.211 W1 10  2.2402 285.493948 -36.963246
58941.51695  6.284  0.169 W1  0  2.2744 285.493965 -36.963213
58210.21378  5.792  0.298 W1 10  2.3833 285.495389 -36.963469
58013.21362  6.077  0.339 W1 10  2.4411 285.494867 -36.962972
58576.45127  5.811  0.241 W1 10  2.5281 285.493908 -36.963158
57294.26778  7.086  0.214 W1 10  2.5382 285.493943 -36.963122
57293.93976  5.873  0.209 W1 10  2.5650 285.495418 -36.963366
57114.58975  5.631  0.219 W1 10  2.5800 285.494725 -36.964317
57113.99903  6.791  0.152 W1 10  2.5905 285.493685 -36.963693
57652.45619  5.909  0.184 W1 10  2.6128 285.493722 -36.963849
57653.17679  6.078  0.169 W1 10  2.6199 285.495390 -36.963277
58740.80060  6.245  0.163 W1 10  2.6281 285.495354 -36.963222
58013.86826  5.831  0.243 W1 10  2.7087 285.494471 -36.962863
