# MJD mag magerr filter distance ra dec
55238.56550 10.120  0.044 W1  1.0655  52.475122  31.348056
55238.56550  9.534  0.036 W2  1.0655  52.475122  31.348056
55238.56550  0.586  0.057 W1mW2  1.0655  52.475122  31.348056
56702.74505  9.579  0.035 W1  0.9895  52.475161  31.348018
56702.74505  8.957  0.059 W2  0.9895  52.475161  31.348018
56702.74505  0.622  0.068 W1mW2  0.9895  52.475161  31.348018
56703.26370  9.538  0.023 W1  0.9900  52.475163  31.348016
56703.26370  8.913  0.045 W2  0.9900  52.475163  31.348016
56703.26370  0.625  0.051 W1mW2  0.9900  52.475163  31.348016
56893.54202  9.639  0.022 W1  1.0191  52.475169  31.348023
56893.54202  9.017  0.021 W2  1.0191  52.475169  31.348023
56893.54202  0.621  0.030 W1mW2  1.0191  52.475169  31.348023
56894.08798  9.643  0.024 W1  1.0212  52.475184  31.348016
56894.08798  9.014  0.017 W2  1.0212  52.475184  31.348016
56894.08798  0.628  0.029 W1mW2  1.0212  52.475184  31.348016
57061.82214  9.471  0.027 W1  0.9728  52.475158  31.348014
57061.82214  8.854  0.041 W2  0.9728  52.475158  31.348014
57061.82214  0.617  0.049 W1mW2  0.9728  52.475158  31.348014
57062.37392  9.475  0.057 W1  0.9703  52.475164  31.348010
57062.37392  8.853  0.043 W2  0.9703  52.475164  31.348010
57062.37392  0.622  0.072 W1mW2  0.9703  52.475164  31.348010
57255.53405  9.617  0.020 W1  1.0395  52.475177  31.348025
57255.53405  8.986  0.039 W2  1.0395  52.475177  31.348025
57255.53405  0.631  0.044 W1mW2  1.0395  52.475177  31.348025
57256.05883  9.579  0.015 W1  1.0672  52.475183  31.348032
57256.05883  8.964  0.040 W2  1.0672  52.475183  31.348032
57256.05883  0.615  0.043 W1mW2  1.0672  52.475183  31.348032
57421.62785  9.845  0.028 W1  0.9988  52.475172  31.348015
57421.62785  9.227  0.017 W2  0.9988  52.475172  31.348015
57421.62785  0.618  0.033 W1mW2  0.9988  52.475172  31.348015
57422.14293  9.847  0.026 W1  0.9335  52.475168  31.347996
57422.14293  9.260  0.014 W2  0.9335  52.475168  31.347996
57422.14293  0.587  0.029 W1mW2  0.9335  52.475168  31.347996
57619.65645  9.637  0.029 W1  1.0133  52.475170  31.348021
57619.65645  8.996  0.036 W2  1.0133  52.475170  31.348021
57619.65645  0.640  0.046 W1mW2  1.0133  52.475170  31.348021
57620.19244  9.614  0.031 W1  1.0083  52.475169  31.348020
57620.19244  8.960  0.040 W2  1.0083  52.475169  31.348020
57620.19244  0.654  0.051 W1mW2  1.0083  52.475169  31.348020
57625.23686  9.676  0.016 W1  0.9958  52.475189  31.348004
57625.23686  9.021  0.014 W2  0.9958  52.475189  31.348004
57625.23686  0.655  0.021 W1mW2  0.9958  52.475189  31.348004
57785.54538  9.637  0.025 W1  0.9797  52.475173  31.348008
57785.54538  8.988  0.045 W2  0.9797  52.475173  31.348008
57785.54538  0.649  0.051 W1mW2  0.9797  52.475173  31.348008
57786.08387  9.644  0.018 W1  0.9330  52.475172  31.347994
57786.08387  8.954  0.042 W2  0.9330  52.475172  31.347994
57786.08387  0.690  0.046 W1mW2  0.9330  52.475172  31.347994
57789.42389  9.534  0.016 W1  0.9466  52.475174  31.347997
57789.42389  8.903  0.040 W2  0.9466  52.475174  31.347997
57789.42389  0.631  0.043 W1mW2  0.9466  52.475174  31.347997
57986.68618  9.638  0.023 W1  1.0124  52.475174  31.348018
57986.68618  9.008  0.031 W2  1.0124  52.475174  31.348018
57986.68618  0.630  0.038 W1mW2  1.0124  52.475174  31.348018
57987.16848  9.629  0.021 W1  0.9730  52.475166  31.348010
57987.16848  8.981  0.039 W2  0.9730  52.475166  31.348010
57987.16848  0.648  0.044 W1mW2  0.9730  52.475166  31.348010
58142.74813  9.742  0.022 W1  0.9481  52.475169  31.348000
58142.74813  9.109  0.019 W2  0.9481  52.475169  31.348000
58142.74813  0.633  0.029 W1mW2  0.9481  52.475169  31.348000
58143.16058  9.736  0.019 W1  0.9140  52.475165  31.347991
58143.16058  9.074  0.021 W2  0.9140  52.475165  31.347991
58143.16058  0.662  0.028 W1mW2  0.9140  52.475165  31.347991
58145.55997  9.666  0.021 W1  0.9497  52.475165  31.348002
58145.55997  9.022  0.029 W2  0.9497  52.475165  31.348002
58145.55997  0.644  0.036 W1mW2  0.9497  52.475165  31.348002
58146.10541  9.619  0.019 W1  0.9790  52.475181  31.348004
58146.10541  9.022  0.014 W2  0.9790  52.475181  31.348004
58146.10541  0.597  0.024 W1mW2  0.9790  52.475181  31.348004
58350.79628  9.580  0.027 W1  1.0158  52.475176  31.348018
