Index,ra,dec,dist_sd,avg_W1,stdev_W1,avg_eW1,avg_W2,stdev_W2,avg_eW2,N_w1,N_w2,slope_w1,slope_w2,sd_sdfid_w1_flux,sd_sdfid_w2_flux,sd_sdfid_w1_mag,sd_sdfid_w2_mag,Delta_w1,Delta_w2,Delta_w1_flux,Delta_w2_flux,class,catalogue,Sw1,DeltaSw1,Sw2,DeltaSw2,SDw1,SDfidw1,SDw2,SDfidw2,chi2_mean_w1,chi2_wmean_w1,chi2_slope_w1,chi2_mean_w2,chi2_wmean_w2,chi2_slope_w2,linear_fap_w1,linear_fap_w2,center_mag_w1,center_mag_w2,max_W1,min_W1,median_W1,max_W2,min_W2,median_W2,period,power,baluev_fap,single_fap,mod_baluev_fap,amp,sinamp,ls_meanjy,sd_sdfid_periodrmv,sd_periodrmv,chi2_period_w2,linear_fap_periodrmv,Deltaw2_periodrmv,var_type,combined_type,sd_linrmv,mu_linrmv,sd_mu_linrmv,Deltaw2_linrmv
1,85.677833333,-10.41925,0.04433682807769918,8.611723773448771,0.2838014436424244,0.0469346642803282,7.382148412698414,0.2537778194258074,0.05207157312801164,14,14,8.635458103413791,6.3534094254903675,6.472780621667753,5.149007126410458,6.046734284650557,4.873634579887292,0.8627500000000001,0.8320833333333351,0.1024221536256725,0.1612075311166502,P,Megeath,0.0002604729171361831,3.016318462980121e-05,0.00019882290568357206,3.1293891573535195e-05,0.032565146848281344,0.0050310907709847155,0.04938728488962677,0.009591613232832377,219.1274546446668,163.0365852408591,88.46544680301093,148.1545310800891,114.16829379647406,73.80248230076593,0.01384905796725324,0.0471713396188134,8.479624999999999,7.306958333333335,8.04825,8.911,8.75605,6.8909166666666675,7.7230000000000025,7.4776000000000025,3420.397583052889,0.5988435260872496,0.4662398197195666,0.0065800005378308865,0.02726231722473751,0.051749942919881206,0.0521708099967648,0.2000308442026164,2.768036202191151,0.02654993266589572,105.18524260202392,0.9789347609921796,0.5623015912344557,irregular,,,,,
4,85.554458333,-10.09302777,0.04874365359162498,12.19685717893218,0.2419485183555111,0.031731113206109295,10.638705032467527,0.2368470745298916,0.02796563327512289,14,14,15.464806378977348,17.56807018419177,7.691849827702921,8.449264331345836,7.624961556940521,8.469219066123607,0.8173272727272725,0.8049727272727285,0.003224188718300782,0.007355676750510645,P,Megeath,0.00022389633126034537,1.4477797249676984e-05,0.00022322752036339522,1.2706433775763335e-05,0.0009343541269474287,0.00012147326688337888,0.0021142811291200406,0.0002502325701039192,488.4695965800177,412.9173331352706,173.75709866221032,605.3458807413956,511.759999191088,203.122903047668,0.0023364478807051826,0.0015518434410568707,12.172936363636365,10.621213636363636,11.764272727272727,12.5816,12.17363888888889,10.218727272727273,11.023700000000002,10.607958333333332,3420.420226645374,0.70772729179575,0.14369924747968052,0.0011530163101829741,0.008402432330404946,0.0023553049599546443,0.002355008716736809,0.009533626815667806,4.9506345518430495,0.0012388100075529506,320.5769813515713,0.9923959086491544,0.425474165510775,curved,irregular,,,,
5,85.632375,-10.09061111,0.035781960270513134,10.821005663780664,0.1375785619722969,0.037452921051041185,10.080569913419913,0.15373075337177347,0.0334586130281617,14,14,-6.072792376679933,-6.9027874584888425,3.801649205858826,4.760173998794323,3.67337334743006,4.594654095266298,0.5999999999999996,0.658818181818182,0.008322540494934878,0.010070087620911041,D,Megeath,-9.276794722287384e-05,1.5275995204300258e-05,-9.423429274330454e-05,1.365162889774594e-05,0.0019023542695980969,0.0005004023692313132,0.002341120222829721,0.0004918140016357995,99.4230828133139,96.13242506797684,59.253617565280024,154.7236276051881,147.86830021439218,100.21982768671663,0.03379985243534229,0.06569767461987049,10.796000000000005,10.0545,10.496000000000002,11.096000000000002,10.8072,9.725090909090909,10.383909090909091,10.068282828282829,1255.3772159402845,0.4787474565671411,0.9405542854433724,0.027782097371705432,0.1498440904455785,0.0021721371412996683,0.0021717396014815783,0.01587491237230436,3.818910117210798,0.0018781934666328827,179.74171792529182,0.3960392411133023,0.4979976709383947,irregular,,,,,
6,85.658458333,-10.06211111,0.03990580868858573,11.563149783549786,0.11685951304518725,0.030324234457387363,11.171914862914862,0.1599170084254388,0.03401694449477706,14,14,1.2309976881831517,0.8013300487411433,4.002335696200398,5.028822171812943,3.853667376480754,4.701098549577031,0.4634666666666654,0.6159499999999998,0.0032906116135897525,0.0036181707205065173,D,Megeath,1.628603002629921e-05,1.3229943632417385e-05,1.3370831865052244e-05,1.6685798674412965e-05,0.0008166792545487932,0.00020405066354731424,0.0009240309887668623,0.00018374700023121704,107.3684896512236,105.02416234651196,103.50880638183708,145.25152300460385,136.10350086780466,135.46137088733144,0.9032677800791572,0.9674381083659612,11.517566666666667,11.090725,11.285833333333334,11.7493,11.53963181818182,10.78275,11.3987,11.20280808080808,1135.6305519221805,0.4417071719275447,0.9652637859647728,0.04052670253915519,0.16999609324193626,0.0008057805102844157,0.000805675151018649,0.005725224747099055,3.731922481587493,0.0006857295610871414,166.09149297214304,0.7696089751459991,0.4671842496685742,irregular,,,,,
10,85.654583333,-10.05822222,0.039487085399453004,10.448541594516596,0.05988034398750509,0.02169342841467864,9.981300252525251,0.06867241853819356,0.0206198801641628,14,14,-1.2155492902372609,-2.0099172037247293,2.777352696423598,3.3619716378561706,2.7602987800207583,3.3303985276085983,0.2208181818181849,0.25028030303030313,0.004175795004370389,0.004056041783041892,D,Megeath,-1.2552816389849035e-05,1.0326867442289301e-05,-1.9506281536662218e-05,9.705017450725663e-06,0.0011374161848014634,0.000409532496994752,0.0011170534227825347,0.00033226140583828554,53.539981696400396,53.024857929854186,51.547297587091954,75.37584638627112,74.53646982756499,70.49670277624814,0.8205115872590234,0.6770174998465743,10.44759090909091,9.976776515151514,10.337181818181817,10.558000000000002,10.466177777777778,9.851636363636363,10.101916666666666,9.99685,1036.6626723247189,0.4542554206051065,0.9557985069554767,0.03576365273765973,0.18439913628067572,0.0010484427061896832,0.001048216482245656,0.017545925898392892,2.4263587282415724,0.0008061853621135393,83.11378490120286,0.4201753160278189,0.16126875594581147,irregular,,,,,
11,85.685166666,-10.05511111,0.05078514954928885,10.542092857142855,0.06853371465474464,0.02042109076878505,10.014009126984122,0.07988670911585773,0.02184878149649553,14,14,3.3303959957245444,2.9218676692106627,3.4097777314221145,3.8108047203560935,3.356026151135024,3.6563461961790087,0.2260808080808072,0.3350606060606065,0.003965325674576825,0.00545945573701765,D,Megeath,3.211388743594386e-05,9.64266335810235e-06,3.0219446644832044e-05,1.0342510361872675e-05,0.0012059865229152205,0.0003536847905954973,0.0012999618094209707,0.0003411252753196701,76.38904343350131,75.48849995170612,64.39696244415069,93.04416069217883,91.9718406281254,83.43452981176868,0.32876994502302986,0.5056344007128147,10.529404040404039,9.972803030303028,10.416363636363636,10.642444444444443,10.552722222222222,9.805272727272726,10.140333333333333,10.028625000000002,222.52020465534642,0.6181500331465913,0.45033561457817295,0.005016607981861542,0.4047593028917817,0.001493595918368203,0.0014933991360520232,0.017167812269841168,2.2995617025556103,0.0007844386188988518,78.62092529452647,0.09872270247000707,0.18737089454009287,irregular,,,,,
14,85.5285,-10.04116666,0.11978972533905548,14.015251948051946,0.09141580462935343,0.07176958983001422,13.149647204184706,0.13938665427294966,0.0999118841251631,14,14,-2.2579688912016977,-2.4739724909618097,1.2961932212810423,1.4242588779124064,1.2737401014255636,1.3950958436369305,0.2393000000000054,0.470466666666665,0.0001711882072013192,0.00041340251887281277,P,Megeath,-8.255609402059438e-05,3.656210426205553e-05,-0.00012842310251035948,5.190967279528329e-05,6.564691228969255e-05,5.0645930878124e-05,0.00012335843327330992,8.661236744693584e-05,11.145783876401556,10.980058554053215,5.881635038459697,13.378309463948714,13.007216594642427,6.886676744331262,0.01265476006508896,0.011662113963148946,14.00335,13.147433333333336,13.8837,14.123000000000005,14.060495454545453,12.912200000000002,13.382666666666667,13.191166666666668,3420.369512294665,0.8094869397828641,0.02011795235617383,0.0001095433813368261,0.0011763613424724427,0.00016698620678129816,0.00016772439330661504,0.00098432143030846,0.7087385067564563,6.138551997098281e-05,5.523118304389112,0.9963534723291148,0.3028882069897265,curved,,,,,
22,85.631333333,-10.02680555,0.03835124378521268,11.317268650793652,0.13077828693055366,0.034660791523527336,10.020652344877343,0.12968089286172454,0.03155919827118054,14,14,-2.2357093662650707,-4.0061428933074685,3.9193150346425565,4.183708200364657,3.7730900300353167,4.109131409087395,0.418037878787878,0.4439015151515164,0.0036971036676587523,0.006983600997790721,D,Megeath,-3.760362342484209e-05,1.681954908462092e-05,-5.9198860626152685e-05,1.4777021739551126e-05,0.0011719281392694395,0.0002990135084602405,0.0020856637116799573,0.0004985203584461672,83.69755469543202,76.28644382131739,71.28804764295072,110.63640908929385,100.93392393355492,84.88474263818264,0.6222794435144566,0.29754136600078823,11.277564393939395,10.01413257575758,11.068545454545458,11.486583333333336,11.376038888888884,9.79218181818182,10.236083333333337,10.050622222222222,2171.9744535012837,0.4478324738768795,0.9632785453821506,0.0381407947366695,0.08870072517006991,0.0016928572218467685,0.0016926474172016225,0.016724076074050232,3.566850985097474,0.0017781478316148574,121.94702756318014,0.8237773705167223,0.4577692266972342,irregular,,,,,
23,85.638083333,-10.02208333,0.056321397245588475,9.07880854978355,0.3809546061052839,0.03803638510873609,7.513549025974027,0.24119484238133865,0.051959842026174576,14,14,-14.94777469887634,-5.219037413985961,10.409947883398226,4.86347216444105,10.015531313405155,4.641947184131885,1.1904909090909117,0.8585999999999991,0.0902399191662564,0.14267702694771045,P,Megeath,-0.00032572753078446737,2.179103828805723e-05,-0.0001429968136227798,2.7399078082785426e-05,0.028567369539919188,0.0027442375177956844,0.04045045879342028,0.008317197554695817,747.9963498684664,446.8831373814727,223.44716555583665,156.4702142816895,129.48274285503763,102.24439158889048,0.007813869940084591,0.19142260889404045,8.992154545454545,7.475299999999999,8.396909090909089,9.5874,9.16318181818182,7.045999999999999,7.9045999999999985,7.5452121212121215,4800.0,0.4296695543076836,0.964490201147128,0.04557178688251312,0.04018709171446367,0.0412893341561191,0.05545139268405491,0.1939704134775612,3.5383905683061685,0.029429493382274807,158.92833965472752,0.9991767409416208,0.5913406904034074,irregular,,,,,
24,85.64120833300001,-10.02041666,0.06783689814726447,9.953418145743148,0.3638015970374392,0.04962471003865815,7.691740836940836,0.3284742301112894,0.06428084462697492,14,14,2.933701978800254,2.3115326468753947,6.764583342685943,4.604368078959865,7.3310573856055585,5.109986217782955,1.1316833333333314,1.053,0.03183454486783563,0.1373334434717709,P,Megeath,6.518794830596499e-05,2.222037165909531e-05,6.420226449792262e-05,2.7774759999478168e-05,0.010265235386072748,0.0015174970676016294,0.040656514736653805,0.008829987967825149,614.9720165603625,439.01465002591567,430.4080387435364,300.36542008313285,218.0055431034327,212.6623598014413,0.8705816872018431,0.8405463116429838,10.063258333333334,7.752416666666668,9.497416666666668,10.6291,9.876981818181818,7.225916666666667,8.278916666666667,7.582681818181817,256.029146736629,0.5312265037580317,0.7343029970977633,0.0154987535099047,0.5736089085615889,0.04378640946756799,0.04378033662171594,0.1417449143357638,3.717935534816468,0.032829326037578974,207.61277685967488,0.7722322624574557,0.8015947901082072,irregular,,,,,
