# index_1   ra          dec         Disk             
  10001     60.3837     26.125894   III              
  10002     60.95832    26.343864   III              
  10003     61.179461   26.315664   I                
  10004     61.384014   27.553749   III              
  10005     61.677714   29.033662   III              
  10006     61.685215   25.671653   full             
  10007     61.714008   25.690988   ""               
  10008     61.714057   25.691266   evolved          
  10009     61.723602   25.676836   III              
  10010     62.726062   25.024065   full             
  10011     62.753392   27.287872   III              
  10012     63.169621   24.637623   full             
  10013     63.30902    28.319526   III              
  10014     63.363464   28.273412   III              
  10015     63.472057   28.189686   I                
  10016     63.477987   28.192472   I                
  10017     63.489117   29.305277   full             
  10018     63.549554   28.198067   full             
  10019     63.551204   28.143658   I                
  10020     63.553891   28.203313   full             
  10021     63.556642   28.213552   full             
  10022     63.560856   28.466027   full             
  10023     63.570891   28.182609   full             
  10024     63.573414   28.10258    full             
  10025     63.609489   28.100795   full             
  10026     63.610052   28.099789   full             
  10027     63.627319   28.087285   full             
  10028     63.627608   28.117243   III              
  10029     63.673289   28.166201   III              
  10030     63.69714    26.773906   full             
  10031     63.697532   28.051421   III              
  10032     63.699465   26.802963   full             
  10033     63.699957   27.876176   III              
  10034     63.705384   28.20837    full             
  10035     63.717942   28.099842   III              
  10036     63.718511   28.099849   ""               
  10037     63.771527   28.146021   III              
  10038     63.777174   27.470323   III              
  10039     63.811385   28.002497   III              
  10040     63.850477   29.17867    III              
  10041     63.893859   29.229717   I?               
  10042     63.898674   28.794822   I?               
  10043     63.913227   28.316153   full             
  10044     63.922197   29.252124   III              
  10045     63.927942   29.165484   III              
  10046     63.928339   29.166542   transitional     
  10047     63.950355   29.192488   III              
  10048     63.991708   27.771376   full             
  10049     64.050492   27.943914   full             
  10050     64.058651   27.974074   ""               
  10051     64.058741   27.974317   III              
  10052     64.07197    28.286785   III              
  10053     64.078617   27.87083    III              
  10054     64.117146   28.126481   III              
  10055     64.16306    28.9803     full             
  10056     64.390579   28.346226   full             
  10057     64.41231    28.55005    III              
  10058     64.456529   28.225383   full             
  10059     64.456941   28.493318   full             
  10060     64.491546   28.542761   full?            
  10061     64.533261   28.434247   "debris/ev trans"
  10062     64.544971   25.332505   full             
  10063     64.571317   28.478204   full             
